"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ashokgehlot51: Due to continuous efforts by the state government to raise awareness against #corona, people are now increasingly becomi…",FALSE,0,NA,2020-10-23 11:17:07,FALSE,NA,"1319598725833003008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kushal_gehlot",92,TRUE,FALSE,NA,NA
"2","RT @Bloodpointorg: #Karimnagar  #SOS #COVID19India
Need B+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Renne Hospital.…",FALSE,0,NA,2020-10-23 11:16:36,FALSE,NA,"1319598593880174594",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bharathjaych",4,TRUE,FALSE,NA,NA
"3","RT @Bloodpointorg: #Hyderabad #SOS #COVID19India
Need B+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Hyderabad nursing…",FALSE,0,NA,2020-10-23 11:16:26,FALSE,NA,"1319598552046206976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bharathjaych",3,TRUE,FALSE,NA,NA
"4","RT @Bloodpointorg: #Gurugram #SOS #COVID19India
Need O+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Medanta Hospital.…",FALSE,0,NA,2020-10-23 11:16:24,FALSE,NA,"1319598542684524544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bharathjaych",3,TRUE,FALSE,NA,NA
"5","RT @Bloodpointorg: #Hyderabad #SOS #COVID19India
Need B-Neg #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Medicover Hospit…",FALSE,0,NA,2020-10-23 11:16:22,FALSE,NA,"1319598537030520832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bharathjaych",2,TRUE,FALSE,NA,NA
"6","RT @Bloodpointorg: #Gurugram #SOS #COVID19India
Need O+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Medanta Hospital.…",FALSE,0,NA,2020-10-23 11:15:09,FALSE,NA,"1319598230468845568",NA,"<a href=""http://www.example.com"" rel=""nofollow"">Blood Required Bot</a>","bloodreqbot",3,TRUE,FALSE,NA,NA
"7","RT @Bloodpointorg: #Hyderabad #SOS #COVID19India
Need B+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Hyderabad nursing…",FALSE,0,NA,2020-10-23 11:15:09,FALSE,NA,"1319598228090699778",NA,"<a href=""http://www.example.com"" rel=""nofollow"">Blood Required Bot</a>","bloodreqbot",3,TRUE,FALSE,NA,NA
"8","RT @Bloodpointorg: #Karimnagar  #SOS #COVID19India
Need B+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Renne Hospital.…",FALSE,0,NA,2020-10-23 11:15:08,FALSE,NA,"1319598224538128385",NA,"<a href=""http://www.example.com"" rel=""nofollow"">Blood Required Bot</a>","bloodreqbot",4,TRUE,FALSE,NA,NA
"9","RT @Anoopnautiyal1: 9 out of 10 people have recovered from the #Corona pandemic in #Uttarakhand. It is good to see that we have jumped from…",FALSE,0,NA,2020-10-23 11:14:24,FALSE,NA,"1319598041079267334",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Adipkr",2,TRUE,FALSE,NA,NA
"10","RT @Bloodpointorg: #Hyderabad #SOS #COVID19India
Need B-Neg #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Medicover Hospit…",FALSE,0,NA,2020-10-23 11:14:18,FALSE,NA,"1319598015066275841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","avinashsai10",2,TRUE,FALSE,NA,NA
"11","RT @Bloodpointorg: #Gurugram #SOS #COVID19India
Need O+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Medanta Hospital.…",FALSE,0,NA,2020-10-23 11:14:14,FALSE,NA,"1319597998683443202",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","avinashsai10",3,TRUE,FALSE,NA,NA
"12","RT @Bloodpointorg: #Hyderabad #SOS #COVID19India
Need B+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Hyderabad nursing…",FALSE,0,NA,2020-10-23 11:14:08,FALSE,NA,"1319597975568515072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","avinashsai10",3,TRUE,FALSE,NA,NA
"13","#Hyderabad #SOS #COVID19India
Need B-Neg #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Medicover H… https://t.co/RcrukgeZ8k",FALSE,0,NA,2020-10-23 11:13:35,TRUE,NA,"1319597835331850240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bloodpointorg",2,FALSE,FALSE,NA,NA
"14","RT @rameshlaus: #India has done 100 Million #Corona Tests till Now..

100,113,085 

#CoronavirusIndia",FALSE,0,NA,2020-10-23 11:13:30,FALSE,NA,"1319597814914011136",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","n_shekar",24,TRUE,FALSE,NA,NA
"15","RT @ashokgehlot51: Due to continuous efforts by the state government to raise awareness against #corona, people are now increasingly becomi…",FALSE,0,NA,2020-10-23 11:12:47,FALSE,NA,"1319597635473297411",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SevadalSKR",92,TRUE,FALSE,NA,NA
"16","#Gurugram #SOS #COVID19India
Need O+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Medanta Hospi… https://t.co/xH7UQn5NRm",FALSE,0,NA,2020-10-23 11:10:53,TRUE,NA,"1319597154533474311",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bloodpointorg",3,FALSE,FALSE,NA,NA
"17","RT @Anoopnautiyal1: 9 out of 10 people have recovered from the #Corona pandemic in #Uttarakhand. It is good to see that we have jumped from…",FALSE,0,NA,2020-10-23 11:10:37,FALSE,NA,"1319597086627655682",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yogeeii",2,TRUE,FALSE,NA,NA
"18","#Hyderabad #SOS #COVID19India
Need B+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Hyderabad nu… https://t.co/UPus8B2Uwh",FALSE,0,NA,2020-10-23 11:09:22,TRUE,NA,"1319596773489295360",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bloodpointorg",3,FALSE,FALSE,NA,NA
"19","@scribe_prashant #NitishKumar : Modi ji how to control #Corona

@narendramodi : ha ha !!never !!!Corona is like you… https://t.co/h0pwWKbke2",FALSE,0,"scribe_prashant",2020-10-23 11:08:40,TRUE,"1319594123012177920","1319596597567684608","493059410","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SahinVaaz",0,FALSE,FALSE,NA,NA
"20","@Ahmedshabbir20 #NitishKumar : Modi ji how to control #Corona

@narendramodi : ha ha !!never !!!Corona is like your… https://t.co/V8MmuyHMIo",FALSE,0,"Ahmedshabbir20",2020-10-23 11:08:12,TRUE,"1319595251816775681","1319596479925846017","100999112","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SahinVaaz",0,FALSE,FALSE,NA,NA
"21","RT @Bloodpointorg: #Karimnagar  #SOS #COVID19India
Need B+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Renne Hospital.…",FALSE,0,NA,2020-10-23 11:06:38,FALSE,NA,"1319596087569690625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","avinashsai10",4,TRUE,FALSE,NA,NA
"22","RT @Bloodpointorg: #Karimnagar  #SOS #COVID19India
Need B+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Renne Hospital.…",FALSE,0,NA,2020-10-23 11:03:11,FALSE,NA,"1319595219998904320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HajibashaS2",4,TRUE,FALSE,NA,NA
"23","RT @ashokgehlot51: Due to continuous efforts by the state government to raise awareness against #corona, people are now increasingly becomi…",FALSE,0,NA,2020-10-23 11:02:41,FALSE,NA,"1319595093557276672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","omsaini75",92,TRUE,FALSE,NA,NA
"24","#Karimnagar  #SOS #COVID19India
Need B+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Renne Hosp… https://t.co/aaj6MkIVmp",FALSE,0,NA,2020-10-23 11:01:31,TRUE,NA,"1319594798601302016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bloodpointorg",4,FALSE,FALSE,NA,NA
"25","RT @ashokgehlot51: Due to continuous efforts by the state government to raise awareness against #corona, people are now increasingly becomi…",FALSE,0,NA,2020-10-23 10:59:03,FALSE,NA,"1319594179685564416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CPmeenabinjari",92,TRUE,FALSE,NA,NA
